,Framework,a (Å),b,c,alpha,beta,gamma,Volume (Å^3),Density (T sites/ 1000 Å^3),Rings,Max Diameter (Å),Max diameter along a,Max diameter along b,Max diameter along c,Accessible Volume %,Number of T Sites
79,FER,19.018,14.303,7.541,90,90,90,2051.3,17.6,10_8_6_5,6.31,1.56,3.4,4.69,10.01,4
80,FRA,12.662,12.662,25.25,90,90,120,3507.2,17.1,6_4,6.67,2.7,2.7,2.66,0,6
81,GIS,9.801,9.801,10.15,90,90,90,975.8,16.4,8_4,4.97,3.32,3.32,3.32,9.38,1
82,GIU,12.5595,12.5595,41.02,90,90,120,5604.6,17.1,6_4,6.32,2.59,2.59,2.32,0,5
83,GME,13.672,13.672,9.85,90,90,120,1594.6,15.1,12_8_6_4,7.76,3.41,3.41,7.11,17.29,1
84,GON,16.901,20.4,5.255,90,90,90,1811.8,17.7,12_6_5_4,6.32,1.68,1.68,5.45,8.12,4
85,GOO,8.748,11.039,17.47,90,90,90,1687.6,19,8_6_4,4.51,3.22,3.22,2.84,4.83,5
86,HEU,17.523,17.644,7.401,90,116.104,90,2054.8,17.5,10_8_5_4,5.97,3.05,1.34,3.67,9.42,5
87,IFO,16.4388,4.9453,22.78,90,90,90,1852.1,17.3,16_6_4,7.76,7.22,1.97,1.09,16.89,4
88,IFR,18.628,13.436,7.629,90,102.322,90,1865.5,17.2,12_6_5_4,7.24,1.64,1.3,6.38,15.54,4
89,IFT,18.889,22.8023,29.08,90,90,90,12525.8,12.1,14_6_5_4_3,10.44,6.71,6.71,7.78,33.37,12
90,IFU,26.0358,25.5895,15.82,90,90,90,10543.2,12.1,20_14_12_8_6_5_4,10.99,6.84,6.11,6.11,33.08,9
91,IFW,21.6651,18.2308,12.48,90,124.74,90,4052.2,15.8,10_8_6_5_4,7.7,3.28,3.28,5.63,17.99,10
92,IFY,15.1512,15.1512,11.84,90,90,90,2719.8,17.6,8_6_4,6.94,3.83,3.83,2.22,10.62,4
93,IHW,13.747,24.069,18.32,90,90,90,6064.6,18.5,8_6_5_4,6.67,3.67,1.58,3.67,9.7,9
94,IMF,14.296,56.7881,20.29,90,90,90,16472.6,17.5,10_6_5_4,7.34,5.44,1.84,5.2,12.12,24
95,IRN,19.641,18.4574,16.56,90,90,90,6005.4,15.3,8_7_6_5_4,9.17,2.05,3.64,2.81,17.71,9
96,IRR,19.0315,19.0315,14.1,90,90,120,4423.1,11.8,18_12_6_5_4_3,14.46,6,6,12.12,37.79,4
97,IRY,15.9499,15.9499,31.07,90,90,120,6847.5,11.1,16_15_6_5_4_3,11.33,9.35,9.35,8.67,40.9,5
98,ISV,12.874,12.874,25.67,90,90,90,4255.2,15,12_6_5_4,7.01,6.32,6.32,6.28,21.34,5
99,ITE,20.753,9.804,20,90,90,90,4071.1,15.7,8_6_5_4,8.3,2.07,4.21,2.8,16.45,4
